site_id,alternative_id,expert_id,criterion_id,term
A,A1,DM7,D7,VSI
A,A1,DM8,D7,VSI
A,A1,DM9,D7,VSI
A,A1,DM10,D7,SI
A,A1,DM1,D8,SI
A,A1,DM2,D8,SI
A,A1,DM3,D8,VSI
A,A1,DM4,D8,SI
A,A1,DM5,D8,SI
A,A1,DM6,D8,EI
A,A1,DM7,D8,EI
A,A1,DM8,D8,VSI
A,A1,DM9,D8,EI
A,A1,DM10,D8,VSI
A,A1,DM1,D9,EI
A,A1,DM2,D9,SI
A,A1,DM3,D9,VSI
A,A1,DM4,D9,VSI
A,A1,DM5,D9,VSI
A,A1,DM6,D9,EI
A,A1,DM7,D9,EI
A,A1,DM8,D9,EI
A,A1,DM9,D9,EI
A,A1,DM10,D9,VSI
A,A1,DM1,D10,AI
A,A1,DM2,D10,AI
A,A1,DM3,D10,AI
A,A1,DM4,D10,AI
A,A1,DM5,D10,AI
A,A1,DM6,D10,SI
A,A1,DM7,D10,VSI
A,A1,DM8,D10,AI
A,A1,DM9,D10,VSI
A,A1,DM10,D10,VSI
A,A2,DM1,D1,PI
A,A2,DM2,D1,EI
A,A2,DM3,D1,EI
A,A2,DM4,D1,EI
A,A2,DM5,D1,PI
A,A2,DM6,D1,PI
A,A2,DM7,D1,EI
A,A2,DM8,D1,PI
A,A2,DM9,D1,EI
A,A2,DM10,D1,PI
A,A2,DM1,D2,PI
A,A2,DM2,D2,PI
A,A2,DM3,D2,EI
A,A2,DM4,D2,EI
A,A2,DM5,D2,PI
A,A2,DM6,D2,EI
A,A2,DM7,D2,EI
A,A2,DM8,D2,PI
A,A2,DM9,D2,EI
A,A2,DM10,D2,PI
A,A2,DM1,D3,VSI
A,A2,DM2,D3,VSI
A,A2,DM3,D3,AI
A,A2,DM4,D3,VSI
A,A2,DM5,D3,VSI
A,A2,DM6,D3,SI
A,A2,DM7,D3,VSI
A,A2,DM8,D3,VSI
A,A2,DM9,D3,SI
A,A2,DM10,D3,SI
A,A2,DM1,D4,EI
A,A2,DM2,D4,SI
A,A2,DM3,D4,SI
A,A2,DM4,D4,SI
A,A2,DM5,D4,SI
A,A2,DM6,D4,EI
A,A2,DM7,D4,EI
A,A2,DM8,D4,SI
A,A2,DM9,D4,SI
A,A2,DM10,D4,EI
A,A2,DM1,D5,VSI
A,A2,DM2,D5,VSI
A,A2,DM3,D5,AI
A,A2,DM4,D5,AI
A,A2,DM5,D5,VSI
A,A2,DM6,D5,SI
A,A2,DM7,D5,VSI
A,A2,DM8,D5,VSI
A,A2,DM9,D5,SI
A,A2,DM10,D5,VSI
A,A2,DM1,D6,PI
A,A2,DM2,D6,EI
A,A2,DM3,D6,EI
A,A2,DM4,D6,EI
A,A2,DM5,D6,EI
A,A2,DM6,D6,SI
A,A2,DM7,D6,EI
A,A2,DM8,D6,PI
A,A2,DM9,D6,EI
A,A2,DM10,D6,EI
A,A2,DM1,D7,VSI
A,A2,DM2,D7,AI
A,A2,DM3,D7,AI
A,A2,DM4,D7,AI
A,A2,DM5,D7,VSI
A,A2,DM6,D7,SI
A,A2,DM7,D7,VSI
A,A2,DM8,D7,VSI
A,A2,DM9,D7,VSI
A,A2,DM10,D7,VSI
A,A2,DM1,D8,AI
A,A2,DM2,D8,AI
A,A2,DM3,D8,AI
A,A2,DM4,D8,VSI
A,A2,DM5,D8,AI
A,A2,DM6,D8,VSI
A,A2,DM7,D8,AI
A,A2,DM8,D8,AI
A,A2,DM9,D8,VSI
A,A2,DM10,D8,AI
A,A2,DM1,D9,SI
A,A2,DM2,D9,VSI
A,A2,DM3,D9,VSI
A,A2,DM4,D9,SI
A,A2,DM5,D9,VSI
A,A2,DM6,D9,EI
A,A2,DM7,D9,SI
A,A2,DM8,D9,VSI
A,A2,DM9,D9,SI
A,A2,DM10,D9,SI
A,A2,DM1,D10,AI
A,A2,DM2,D10,AI
A,A2,DM3,D10,AI
A,A2,DM4,D10,AI
A,A2,DM5,D10,AI
A,A2,DM6,D10,SI
A,A2,DM7,D10,VSI
A,A2,DM8,D10,AI
A,A2,DM9,D10,VSI
A,A2,DM10,D10,VSI
A,A3,DM1,D1,VSI
A,A3,DM2,D1,SI
A,A3,DM3,D1,VSI
A,A3,DM4,D1,EI
A,A3,DM5,D1,SI
A,A3,DM6,D1,VSI
A,A3,DM7,D1,VSI
A,A3,DM8,D1,EI
A,A3,DM9,D1,SI
A,A3,DM10,D1,SI
A,A3,DM1,D2,AI
A,A3,DM2,D2,VSI
A,A3,DM3,D2,VSI
A,A3,DM4,D2,SI
A,A3,DM5,D2,VSI
A,A3,DM6,D2,AI
A,A3,DM7,D2,VSI
A,A3,DM8,D2,SI
A,A3,DM9,D2,SI
A,A3,DM10,D2,SI
A,A3,DM1,D3,SI
A,A3,DM2,D3,SI
A,A3,DM3,D3,VSI
A,A3,DM4,D3,EI
A,A3,DM5,D3,SI
A,A3,DM6,D3,SI
A,A3,DM7,D3,SI
A,A3,DM8,D3,SI
A,A3,DM9,D3,SI
A,A3,DM10,D3,EI
A,A3,DM1,D4,EI
A,A3,DM2,D4,SI
A,A3,DM3,D4,EI
A,A3,DM4,D4,EI
A,A3,DM5,D4,SI
A,A3,DM6,D4,SI
A,A3,DM7,D4,EI
A,A3,DM8,D4,EI
A,A3,DM9,D4,EI
A,A3,DM10,D4,SI
A,A3,DM1,D5,EI
A,A3,DM2,D5,EI
A,A3,DM3,D5,SI
A,A3,DM4,D5,SI
A,A3,DM5,D5,SI
A,A3,DM6,D5,EI
A,A3,DM7,D5,EI
A,A3,DM8,D5,EI
A,A3,DM9,D5,EI
A,A3,DM10,D5,SI
A,A3,DM1,D6,SI
A,A3,DM2,D6,VSI
A,A3,DM3,D6,SI
A,A3,DM4,D6,EI
A,A3,DM5,D6,VSI
A,A3,DM6,D6,VSI
A,A3,DM7,D6,SI
A,A3,DM8,D6,EI
A,A3,DM9,D6,SI
A,A3,DM10,D6,VSI
A,A3,DM1,D7,EI
A,A3,DM2,D7,EI
A,A3,DM3,D7,SI
A,A3,DM4,D7,SI
A,A3,DM5,D7,SI
A,A3,DM6,D7,EI
A,A3,DM7,D7,EI
A,A3,DM8,D7,EI
A,A3,DM9,D7,EI
A,A3,DM10,D7,EI
A,A3,DM1,D8,VSI
A,A3,DM2,D8,SI
A,A3,DM3,D8,VSI
A,A3,DM4,D8,EI
A,A3,DM5,D8,SI
A,A3,DM6,D8,SI
A,A3,DM7,D8,SI
A,A3,DM8,D8,SI
A,A3,DM9,D8,EI
A,A3,DM10,D8,VSI
A,A3,DM1,D9,PI
A,A3,DM2,D9,EI
A,A3,DM3,D9,SI
A,A3,DM4,D9,VWI
A,A3,DM5,D9,EI
A,A3,DM6,D9,PI
A,A3,DM7,D9,EI
A,A3,DM8,D9,PI
A,A3,DM9,D9,PI
A,A3,DM10,D9,EI
A,A3,DM1,D10,EI
A,A3,DM2,D10,EI
A,A3,DM3,D10,SI
A,A3,DM4,D10,PI
A,A3,DM5,D10,EI
A,A3,DM6,D10,EI
A,A3,DM7,D10,EI
A,A3,DM8,D10,EI
A,A3,DM9,D10,EI
A,A3,DM10,D10,PI
A,A4,DM1,D1,SI
A,A4,DM2,D1,VSI
A,A4,DM3,D1,SI
A,A4,DM4,D1,VSI
A,A4,DM5,D1,SI
A,A4,DM6,D1,SI
A,A4,DM7,D1,VSI
A,A4,DM8,D1,EI
A,A4,DM9,D1,VSI
A,A4,DM10,D1,EI
A,A4,DM1,D2,VSI
A,A4,DM2,D2,VSI
A,A4,DM3,D2,SI
A,A4,DM4,D2,SI
A,A4,DM5,D2,VSI
A,A4,DM6,D2,VSI
A,A4,DM7,D2,SI
A,A4,DM8,D2,VSI
A,A4,DM9,D2,SI
A,A4,DM10,D2,EI
A,A4,DM1,D3,SI
A,A4,DM2,D3,SI
A,A4,DM3,D3,SI
A,A4,DM4,D3,SI
A,A4,DM5,D3,SI
A,A4,DM6,D3,EI
A,A4,DM7,D3,SI
A,A4,DM8,D3,SI
A,A4,DM9,D3,SI
A,A4,DM10,D3,EI
A,A4,DM1,D4,VSI
A,A4,DM2,D4,AI
A,A4,DM3,D4,VSI
A,A4,DM4,D4,AI
A,A4,DM5,D4,AI
A,A4,DM6,D4,VSI
A,A4,DM7,D4,VSI
A,A4,DM8,D4,AI
A,A4,DM9,D4,AI
A,A4,DM10,D4,VSI
A,A4,DM1,D5,SI
A,A4,DM2,D5,SI
A,A4,DM3,D5,VSI
A,A4,DM4,D5,VSI
A,A4,DM5,D5,VSI
A,A4,DM6,D5,SI
A,A4,DM7,D5,SI
A,A4,DM8,D5,SI
A,A4,DM9,D5,SI
A,A4,DM10,D5,SI
A,A4,DM1,D6,VSI
A,A4,DM2,D6,VSI
A,A4,DM3,D6,SI
A,A4,DM4,D6,SI
A,A4,DM5,D6,VSI
A,A4,DM6,D6,VSI
A,A4,DM7,D6,SI
A,A4,DM8,D6,SI
A,A4,DM9,D6,SI
A,A4,DM10,D6,SI
A,A4,DM1,D7,SI
A,A4,DM2,D7,SI
A,A4,DM3,D7,VSI
A,A4,DM4,D7,VSI
A,A4,DM5,D7,VSI
A,A4,DM6,D7,EI
A,A4,DM7,D7,SI
A,A4,DM8,D7,SI
A,A4,DM9,D7,SI
A,A4,DM10,D7,SI
A,A4,DM1,D8,EI
A,A4,DM2,D8,EI
A,A4,DM3,D8,EI
A,A4,DM4,D8,PI
A,A4,DM5,D8,EI
A,A4,DM6,D8,EI
A,A4,DM7,D8,EI
A,A4,DM8,D8,SI
A,A4,DM9,D8,EI
A,A4,DM10,D8,EI
A,A4,DM1,D9,SI
A,A4,DM2,D9,VSI
A,A4,DM3,D9,SI
A,A4,DM4,D9,VSI
A,A4,DM5,D9,VSI
A,A4,DM6,D9,EI
A,A4,DM7,D9,SI
A,A4,DM8,D9,SI
A,A4,DM9,D9,SI
A,A4,DM10,D9,SI
A,A4,DM1,D10,SI
A,A4,DM2,D10,VSI
A,A4,DM3,D10,VSI
A,A4,DM4,D10,VSI
A,A4,DM5,D10,SI
A,A4,DM6,D10,SI
A,A4,DM7,D10,SI
A,A4,DM8,D10,SI
A,A4,DM9,D10,SI
A,A4,DM10,D10,SI
A,A5,DM1,D1,VSI
A,A5,DM2,D1,VSI
A,A5,DM3,D1,VSI
A,A5,DM4,D1,SI
A,A5,DM5,D1,SI
A,A5,DM6,D1,VSI
A,A5,DM7,D1,AI
A,A5,DM8,D1,EI
A,A5,DM9,D1,AI
A,A5,DM10,D1,VSI
A,A5,DM1,D2,AI
A,A5,DM2,D2,VSI
A,A5,DM3,D2,SI
A,A5,DM4,D2,SI
A,A5,DM5,D2,SI
A,A5,DM6,D2,VSI
A,A5,DM7,D2,AI
A,A5,DM8,D2,VSI
A,A5,DM9,D2,AI
A,A5,DM10,D2,VSI
A,A5,DM1,D3,VSI
A,A5,DM2,D3,SI
A,A5,DM3,D3,VSI
A,A5,DM4,D3,SI
A,A5,DM5,D3,SI
A,A5,DM6,D3,SI
A,A5,DM7,D3,VSI
A,A5,DM8,D3,SI
A,A5,DM9,D3,VSI
A,A5,DM10,D3,SI
A,A5,DM1,D4,SI
A,A5,DM2,D4,VSI
A,A5,DM3,D4,SI
A,A5,DM4,D4,VSI
A,A5,DM5,D4,VSI
A,A5,DM6,D4,SI
A,A5,DM7,D4,AI
A,A5,DM8,D4,VSI
A,A5,DM9,D4,AI
A,A5,DM10,D4,EI
A,A5,DM1,D5,SI
A,A5,DM2,D5,SI
A,A5,DM3,D5,VSI
A,A5,DM4,D5,VSI
A,A5,DM5,D5,VSI
A,A5,DM6,D5,SI
A,A5,DM7,D5,VSI
A,A5,DM8,D5,SI
A,A5,DM9,D5,SI
A,A5,DM10,D5,VSI
A,A5,DM1,D6,VSI
A,A5,DM2,D6,SI
A,A5,DM3,D6,EI
A,A5,DM4,D6,SI
A,A5,DM5,D6,SI
A,A5,DM6,D6,VSI
A,A5,DM7,D6,VSI
A,A5,DM8,D6,EI
A,A5,DM9,D6,VSI
A,A5,DM10,D6,AI
A,A5,DM1,D7,SI
A,A5,DM2,D7,SI
A,A5,DM3,D7,VSI
A,A5,DM4,D7,VSI
A,A5,DM5,D7,VSI
A,A5,DM6,D7,SI
A,A5,DM7,D7,VSI
A,A5,DM8,D7,SI
A,A5,DM9,D7,SI
A,A5,DM10,D7,VSI
A,A5,DM1,D8,VSI
A,A5,DM2,D8,EI
A,A5,DM3,D8,VSI
A,A5,DM4,D8,PI
A,A5,DM5,D8,EI
A,A5,DM6,D8,EI
A,A5,DM7,D8,SI
A,A5,DM8,D8,VSI
A,A5,DM9,D8,EI
A,A5,DM10,D8,VSI
A,A5,DM1,D9,SI
A,A5,DM2,D9,VSI
A,A5,DM3,D9,SI
A,A5,DM4,D9,SI
A,A5,DM5,D9,SI
A,A5,DM6,D9,EI
A,A5,DM7,D9,VSI
A,A5,DM8,D9,VSI
A,A5,DM9,D9,VSI
A,A5,DM10,D9,SI
A,A5,DM1,D10,SI
A,A5,DM2,D10,SI
A,A5,DM3,D10,VSI
A,A5,DM4,D10,VSI
A,A5,DM5,D10,SI
A,A5,DM6,D10,EI
A,A5,DM7,D10,VSI
A,A5,DM8,D10,SI
A,A5,DM9,D10,VSI
A,A5,DM10,D10,SI
