panel,lambda_objective,alternative_id,spotis_D0,spotis_D_lower,spotis_D_upper
A,0.15,A1,0.35641763789049363,0.3473567915828856,0.3631744982060479
A,0.15,A2,0.40356126773721307,0.3986689209000702,0.4073383649803656
A,0.15,A3,0.5197010196423302,0.501257733685232,0.533354762780128
A,0.15,A4,0.40382097482946905,0.39746583026792576,0.4095055012419566
A,0.15,A5,0.35053375483423427,0.346171864546843,0.35430131107585894
A,0.16,A1,0.35707466332144916,0.3479750719168292,0.3638610244097056
A,0.16,A2,0.40451226854959804,0.3995991258173433,0.4083130056511329
A,0.16,A3,0.5192382415419202,0.5008075122991463,0.5328927585105743
A,0.16,A4,0.4034782256397378,0.39710345349917114,0.4091782246941218
A,0.16,A5,0.3502289162304884,0.3458648488209162,0.3539969830130417
A,0.17,A1,0.35773168875240463,0.34859335225077287,0.3645475506133632
A,0.17,A2,0.40546326936198307,0.4005293307346165,0.4092876463219002
A,0.17,A3,0.5187754634415103,0.5003572909130609,0.5324307542410205
A,0.17,A4,0.4031354764500067,0.3967410767304166,0.4088509481462871
A,0.17,A5,0.34992407762674255,0.34555783309498944,0.35369265495022445
A,0.18,A1,0.3583887141833602,0.3492116325847164,0.3652340768170209
A,0.18,A2,0.40641427017436826,0.40145953565188974,0.4102622869926676
A,0.18,A3,0.5183126853411004,0.49990706952697533,0.5319687499714665
A,0.18,A4,0.40279272726027543,0.39637869996166214,0.4085236715984523
A,0.18,A5,0.34961923902299696,0.34525081736906277,0.3533883268874073
A,0.19,A1,0.35904573961431574,0.34982991291866006,0.3659206030206785
A,0.19,A2,0.40736527098675324,0.40238974056916277,0.4112369276634349
A,0.19,A3,0.5178499072406906,0.49945684814088975,0.5315067457019126
A,0.19,A4,0.40244997807054417,0.3960163231929076,0.40819639505061756
A,0.19,A5,0.3493144004192511,0.344943801643136,0.35308399882459013
A,0.2,A1,0.35970276504527127,0.3504481932526037,0.36660712922433614
A,0.2,A2,0.40831627179913843,0.40331994548643607,0.41221156833420225
A,0.2,A3,0.5173871291402807,0.4990066267548042,0.5310447414323588
A,0.2,A4,0.40210722888081296,0.39565394642415297,0.40786911850278285
A,0.2,A5,0.3490095618155053,0.34463678591720925,0.35277967076177286
A,0.21,A1,0.36035979047622685,0.3510664735865473,0.36729365542799375
A,0.21,A2,0.4092672726115234,0.40425015040370915,0.41318620900496966
A,0.21,A3,0.5169243510398707,0.4985564053687185,0.5305827371628048
A,0.21,A4,0.4017644796910817,0.3952915696553984,0.4075418419549481
A,0.21,A5,0.34870472321175944,0.3443297701912825,0.35247534269895564
A,0.22,A1,0.3610168159071824,0.35168475392049087,0.3679801816316513
A,0.22,A2,0.41021827342390843,0.40518035532098234,0.41416084967573696
A,0.22,A3,0.5164615729394609,0.498106183982633,0.530120732893251
A,0.22,A4,0.40142173050135055,0.39492919288664385,0.4072145654071133
A,0.22,A5,0.3483998846080137,0.34402275446535574,0.3521710146361384
A,0.23,A1,0.36167384133813796,0.35230303425443454,0.3686667078353091
A,0.23,A2,0.41116927423629357,0.4061105602382554,0.4151354903465043
A,0.23,A3,0.515998794839051,0.4976559625965473,0.5296587286236971
A,0.23,A4,0.40107898131161934,0.3945668161178893,0.40688728885927855
A,0.23,A5,0.34809504600426794,0.343715738739429,0.35186668657332126
A,0.24,A1,0.36233086676909343,0.3529213145883781,0.3693532340389666
A,0.24,A2,0.41212027504867865,0.4070407651555286,0.41611013101727173
A,0.24,A3,0.5155360167386411,0.4972057412104618,0.5291967243541432
A,0.24,A4,0.40073623212188814,0.3942044393491347,0.40656001231144373
A,0.24,A5,0.3477902074005222,0.3434087230135022,0.351562358510504
A,0.25,A1,0.36298789220004896,0.3535395949223218,0.3700397602426243
A,0.25,A2,0.4130712758610637,0.40797097007280175,0.41708477168803904
A,0.25,A3,0.5150732386382313,0.49675551982437627,0.5287347200845893
A,0.25,A4,0.40039348293215693,0.3938420625803802,0.4062327357636091
A,0.25,A5,0.3474853687967764,0.34310170728757555,0.3512580304476868
A,0.26,A1,0.3636449176310045,0.3541578752562653,0.3707262864462819
A,0.26,A2,0.41402227667344876,0.408901174990075,0.4180594123588064
A,0.26,A3,0.5146104605378213,0.49630529843829063,0.5282727158150354
A,0.26,A4,0.4000507337424257,0.3934796858116256,0.4059054592157743
A,0.26,A5,0.3471805301930306,0.3427946915616487,0.3509537023848695
A,0.27,A1,0.36430194306196,0.3547761555902089,0.3714128126499395
A,0.27,A2,0.41497327748583385,0.409831379907348,0.4190340530295737
A,0.27,A3,0.5141476824374114,0.4958550770522051,0.5278107115454816
A,0.27,A4,0.3997079845526945,0.3931173090428711,0.40557818266793955
A,0.27,A5,0.3468756915892848,0.34248767583572204,0.35064937432205223
A,0.28,A1,0.3649589684929156,0.35539443592415265,0.3720993388535973
A,0.28,A2,0.41592427829821893,0.4107615848246213,0.4200086937003411
A,0.28,A3,0.5136849043370015,0.49540485566611947,0.5273487072759278
A,0.28,A4,0.3993652353629633,0.3927549322741165,0.40525090612010484
A,0.28,A5,0.34657085298553897,0.34218066010979525,0.35034504625923507
A,0.29,A1,0.3656159939238712,0.35601271625809616,0.37278586505725486
A,0.29,A2,0.41687527911060396,0.41169178974189435,0.4209833343711084
A,0.29,A3,0.5132221262365916,0.4949546342800338,0.5268867030063737
A,0.29,A4,0.39902248617323205,0.39239255550536195,0.40492362957227007
A,0.29,A5,0.3462660143817931,0.34187364438386847,0.35004071819641785
A,0.3,A1,0.3662730193548266,0.3566309965920397,0.3734723912609123
A,0.3,A2,0.417826279922989,0.41262199465916743,0.42195797504187577
A,0.3,A3,0.5127593481361817,0.4945044128939483,0.52642469873682
A,0.3,A4,0.39867973698350084,0.3920301787366074,0.4045963530244353
A,0.3,A5,0.34596117577804736,0.3415666286579417,0.3497363901336006
A,0.31,A1,0.3669300447857821,0.35724927692598335,0.37415891746457
A,0.31,A2,0.41877728073537407,0.4135521995764406,0.422932615712643
A,0.31,A3,0.5122965700357718,0.49405419150786267,0.5259626944672662
A,0.31,A4,0.3983369877937697,0.39166780196785284,0.4042690764766006
A,0.31,A5,0.34565633717430155,0.341259612932015,0.34943206207078337
A,0.32,A1,0.36758707021673764,0.3578675572599269,0.37484544366822764
A,0.32,A2,0.4197282815477592,0.41448240449371376,0.4239072563834104
A,0.32,A3,0.5118337919353619,0.4936039701217771,0.5255006901977122
A,0.32,A4,0.3979942386040385,0.3913054251990983,0.40394179992876583
A,0.32,A5,0.34535149857055586,0.3409525972060883,0.34912773400796615
A,0.33,A1,0.3682440956476932,0.35848583759387054,0.3755319698718853
A,0.33,A2,0.42067928236014424,0.41541260941098695,0.4248818970541777
A,0.33,A3,0.5113710138349521,0.49315374873569157,0.5250386859281583
A,0.33,A4,0.3976514894143074,0.3909430484303437,0.4036145233809312
A,0.33,A5,0.3450466599668101,0.34064558148016144,0.34882340594514893
A,0.34,A1,0.36890112107864875,0.3591041179278142,0.3762184960755429
A,0.34,A2,0.42163028317252926,0.41634281432826015,0.4258565377249451
A,0.34,A3,0.5109082357345422,0.492703527349606,0.5245766816586045
A,0.34,A4,0.39730874022457613,0.39058067166158916,0.40328724683309636
A,0.34,A5,0.34474182136306425,0.34033856575423466,0.34851907788233166
A,0.35000000000000003,A1,0.3695581465096043,0.3597223982617577,0.37690502227920053
A,0.35000000000000003,A2,0.42258128398491435,0.4172730192455332,0.42683117839571244
A,0.35000000000000003,A3,0.5104454576341322,0.49225330596352035,0.5241146773890506
A,0.35000000000000003,A4,0.39696599103484487,0.3902182948928347,0.4029599702852616
A,0.35000000000000003,A5,0.34443698275931844,0.340031550028308,0.3482147498195145
A,0.36,A1,0.3702151719405599,0.3603406785957014,0.3775915484828582
A,0.36,A2,0.4235322847972994,0.41820322416280636,0.4278058190664798
A,0.36,A3,0.5099826795337224,0.4918030845774348,0.5236526731194967
A,0.36,A4,0.39662324184511377,0.38985591812408016,0.40263269373742694
A,0.36,A5,0.3441321441555727,0.3397245343023812,0.3479104217566973
A,0.37,A1,0.37087219737151533,0.36095895892964497,0.37827807468651575
A,0.37,A2,0.4244832856096845,0.4191334290800796,0.42878045973724715
A,0.37,A3,0.5095199014333125,0.4913528631913492,0.5231906688499429
A,0.37,A4,0.3962804926553825,0.38949354135532555,0.4023054171895921
A,0.37,A5,0.3438273055518269,0.3394175185764545,0.34760609369388007
A,0.38,A1,0.371529222802471,0.36157723926358865,0.3789646008901735
A,0.38,A2,0.4254342864220696,0.4200636339973527,0.4297551004080145
A,0.38,A3,0.5090571233329027,0.4909026418052637,0.522728664580389
A,0.38,A4,0.39593774346565125,0.389131164586571,0.4019781406417574
A,0.38,A5,0.3435224669480811,0.3391105028505277,0.3473017656310628
A,0.39,A1,0.3721862482334265,0.36219551959753227,0.3796511270938311
A,0.39,A2,0.4263852872344546,0.4209938389146259,0.43072974107878187
A,0.39,A3,0.5085943452324928,0.490452420419178,0.5222666603108351
A,0.39,A4,0.3955949942759201,0.3887687878178164,0.4016508640939226
A,0.39,A5,0.3432176283443353,0.33880348712460107,0.34699743756824564
A,0.4,A1,0.372843273664382,0.3628137999314759,0.38033765329748875
A,0.4,A2,0.4273362880468397,0.421924043831899,0.4317043817495491
A,0.4,A3,0.5081315671320827,0.49000219903309244,0.5218046560412812
A,0.4,A4,0.3952522450861889,0.3884064110490619,0.4013235875460879
A,0.4,A5,0.34291278974058953,0.3384964713986743,0.3466931095054284
A,0.41000000000000003,A1,0.37350029909533755,0.3634320802654194,0.3810241795011464
A,0.41000000000000003,A2,0.42828728885922474,0.42285424874917216,0.4326790224203165
A,0.41000000000000003,A3,0.5076687890316729,0.4895519776470069,0.5213426517717274
A,0.41000000000000003,A4,0.39490949589645774,0.3880440342803073,0.4009963109982531
A,0.41000000000000003,A5,0.3426079511368438,0.33818945567274744,0.3463887814426112
A,0.42,A1,0.37415732452629313,0.36405036059936313,0.381710705704804
A,0.42,A2,0.4292382896716099,0.4237844536664453,0.4336536630910839
A,0.42,A3,0.507206010931263,0.48910175626092134,0.5208806475021734
A,0.42,A4,0.3945667467067266,0.3876816575115528,0.4006690344504184
A,0.42,A5,0.34230311253309803,0.33788243994682077,0.346084453379794
A,0.43,A1,0.3748143499572487,0.36466864093330675,0.38239723190846164
A,0.43,A2,0.43018929048399496,0.4247146585837185,0.43462830376185124
A,0.43,A3,0.5067432328308531,0.48865153487483576,0.5204186432326197
A,0.43,A4,0.39422399751699533,0.38731928074279826,0.40034175790258364
A,0.43,A5,0.3419982739293522,0.337575424220894,0.34578012531697677
A,0.44,A1,0.37547137538820424,0.3652869212672503,0.38308375811211925
A,0.44,A2,0.43114029129638,0.4256448635009916,0.4356029444326186
A,0.44,A3,0.5062804547304434,0.4882013134887501,0.5199566389630659
A,0.44,A4,0.3938812483272641,0.3869569039740437,0.40001448135474893
A,0.44,A5,0.34169343532560637,0.33726840849496725,0.34547579725415956
A,0.45,A1,0.37612840081915977,0.365905201601194,0.3837702843157769
A,0.45,A2,0.432091292108765,0.42657506841826476,0.4365775851033859
A,0.45,A3,0.5058176766300334,0.4877510921026646,0.5194946346935119
A,0.45,A4,0.3935384991375329,0.38659452720528914,0.39968720480691416
A,0.45,A5,0.34138859672186056,0.3369613927690406,0.34517146919134234
A,0.46,A1,0.37678542625011535,0.3665234819351377,0.38445681051943453
A,0.46,A2,0.4330422929211501,0.42750527333553795,0.43755222577415326
A,0.46,A3,0.5053548985296235,0.48730087071657907,0.5190326304239581
A,0.46,A4,0.39319574994780176,0.3862321504365347,0.39935992825907946
A,0.46,A5,0.34108375811811487,0.3366543770431138,0.34486714112852507
A,0.47000000000000003,A1,0.37744245168107077,0.3671417622690812,0.38514333672309214
A,0.47000000000000003,A2,0.4339932937335351,0.428435478252811,0.4385268664449205
A,0.47000000000000003,A3,0.5048921204292136,0.4868506493304934,0.5185706261544043
A,0.47000000000000003,A4,0.3928530007580705,0.38586977366778014,0.3990326517112447
A,0.47000000000000003,A5,0.34077891951436906,0.33634736131718707,0.3445628130657079
A,0.48,A1,0.37809947711202635,0.36776004260302486,0.3858298629267498
A,0.48,A2,0.43494429454592015,0.42936568317008417,0.43950150711568786
A,0.48,A3,0.5044293423288037,0.48640042794440785,0.5181086218848503
A,0.48,A4,0.39251025156833924,0.3855073968990255,0.3987053751634099
A,0.48,A5,0.34047408091062326,0.3360403455912603,0.34425848500289064
A,0.49,A1,0.3787565025429819,0.36837832293696837,0.3865163891304075
A,0.49,A2,0.43589529535830523,0.4302958880873573,0.44047614778645516
A,0.49,A3,0.5039665642283938,0.4859502065583223,0.5176466176152963
A,0.49,A4,0.39216750237860815,0.38514502013027097,0.3983780986155752
A,0.49,A5,0.34016924230687745,0.3357333298653335,0.34395415694007336
A,0.5,A1,0.37941352797393746,0.36899660327091205,0.3872029153340651
A,0.5,A2,0.4368462961706903,0.43122609300463044,0.4414507884572225
A,0.5,A3,0.5035037861279839,0.48549998517223664,0.5171846133457425
A,0.5,A4,0.3918247531888769,0.38478264336151646,0.39805082206774045
A,0.5,A5,0.3398644037031317,0.3354263141394069,0.3436498288772562
A,0.51,A1,0.38007055340489293,0.36961488360485556,0.3878894415377227
A,0.51,A2,0.43779729698307535,0.43215629792190363,0.4424254291279899
A,0.51,A3,0.5030410080275739,0.485049763786151,0.5167226090761887
A,0.51,A4,0.3914820039991456,0.3844202665927618,0.39772354551990563
A,0.51,A5,0.3395595650993859,0.33511929841348004,0.3433455008144389
A,0.52,A1,0.3807275788358485,0.3702331639387992,0.38857596774138026
A,0.52,A2,0.4387482977954605,0.4330865028391768,0.44340006979875723
A,0.52,A3,0.502578229927164,0.4845995424000655,0.5162606048066348
A,0.52,A4,0.39113925480941447,0.38405788982400724,0.3973962689720708
A,0.52,A5,0.33925472649564004,0.33481228268755336,0.34304117275162177
A,0.53,A1,0.3813846042668041,0.3708514442727429,0.3892624939450379
A,0.53,A2,0.43969929860784546,0.43401670775644985,0.4443747104695246
A,0.53,A3,0.5021154518267542,0.48414932101397984,0.5157986005370808
A,0.53,A4,0.39079650561968327,0.3836955130552527,0.3970689924242361
A,0.53,A5,0.3389498878918943,0.33450526696162647,0.3427368446888045
A,0.54,A1,0.38204162969775957,0.3714697246066865,0.38994902014869565
A,0.54,A2,0.4406502994202306,0.4349469126737231,0.44534935114029195
A,0.54,A3,0.5016526737263443,0.48369909962789437,0.515336596267527
A,0.54,A4,0.390453756429952,0.3833331362864981,0.39674171587640134
A,0.54,A5,0.3386450492881485,0.3341982512356998,0.3424325166259873
A,0.55,A1,0.3826986551287151,0.37208800494063005,0.39063554635235326
A,0.55,A2,0.44160130023261573,0.4358771175909963,0.44632399181105936
A,0.55,A3,0.5011898956259344,0.48324887824180873,0.5148745919979731
A,0.55,A4,0.39011100724022085,0.3829707595177436,0.3964144393285666
A,0.55,A5,0.33834021068440273,0.3338912355097731,0.34212818856317007
A,0.56,A1,0.3833556805596706,0.37270628527457367,0.39132207255601087
A,0.56,A2,0.4425523010450007,0.43680732250826937,0.4472986324818266
A,0.56,A3,0.5007271175255243,0.48279865685572315,0.5144125877284192
A,0.56,A4,0.38976825805048965,0.382608382748989,0.3960871627807319
A,0.56,A5,0.338035372080657,0.3335842197838463,0.3418238605003528
A,0.5700000000000001,A1,0.38401270599062615,0.37332456560851734,0.39200859875966837
A,0.5700000000000001,A2,0.4435033018573858,0.43773752742554256,0.448273273152594
A,0.5700000000000001,A3,0.5002643394251146,0.4823484354696376,0.5139505834588654
A,0.5700000000000001,A4,0.38942550886075844,0.38224600598023445,0.39575988623289715
A,0.5700000000000001,A5,0.3377305334769112,0.33327720405791955,0.3415195324375356
A,0.58,A1,0.38466973142158184,0.3739428459424609,0.39269512496332615
A,0.58,A2,0.4444543026697709,0.4386677323428157,0.4492479138233614
A,0.58,A3,0.49980156132470477,0.481898214083552,0.5134885791893116
A,0.58,A4,0.38908275967102723,0.38188362921147995,0.3954326096850624
A,0.58,A5,0.3374256948731654,0.3329701883319928,0.3412152043747184
A,0.59,A1,0.38532675685253726,0.3745611262764045,0.39338165116698365
A,0.59,A2,0.4454053034821559,0.4395979372600888,0.4502225544941286
A,0.59,A3,0.4993387832242948,0.4814479926974664,0.5130265749197576
A,0.59,A4,0.3887400104812961,0.3815212524427254,0.3951053331372277
A,0.59,A5,0.3371208562694196,0.332663172606066,0.3409108763119012
A,0.6,A1,0.38598378228349284,0.37517940661034804,0.3940681773706413
A,0.6,A2,0.44635630429454104,0.440528142177362,0.45119719516489604
A,0.6,A3,0.4988760051238849,0.4809977713113808,0.5125645706502038
A,0.6,A4,0.3883972612915649,0.38115887567397083,0.3947780565893929
A,0.6,A5,0.3368160176656738,0.3323561568801393,0.34060654824908393
A,0.61,A1,0.3866408077144483,0.3757976869442917,0.394754703574299
A,0.61,A2,0.44730730510692607,0.44145834709463505,0.4521718358356634
A,0.61,A3,0.49841322702347507,0.48054754992529525,0.5121025663806499
A,0.61,A4,0.38805451210183367,0.3807964989052162,0.39445078004155815
A,0.61,A5,0.336511179061928,0.3320491411542125,0.34030222018626677
A,0.62,A1,0.3872978331454039,0.37641596727823534,0.3954412297779566
A,0.62,A2,0.44825830591931104,0.4423885520119083,0.4531464765064307
A,0.62,A3,0.4979504489230651,0.48009732853920967,0.511640562111096
A,0.62,A4,0.38771176291210246,0.38043412213646166,0.39412350349372344
A,0.62,A5,0.3362063404581822,0.3317421254282858,0.3399978921234495
A,0.63,A1,0.3879548585763595,0.3770342476121789,0.3961277559816142
A,0.63,A2,0.4492093067316961,0.4433187569291814,0.45412111717719805
A,0.63,A3,0.49748767082265527,0.47964710715312403,0.5111785578415421
A,0.63,A4,0.38736901372237126,0.38007174536770716,0.3937962269458886
A,0.63,A5,0.33590150185443646,0.33143510970235907,0.3396935640606323
A,0.64,A1,0.38861188400731494,0.37765252794612253,0.3968142821852719
A,0.64,A2,0.4501603075440812,0.4442489618464545,0.4550957578479653
A,0.64,A3,0.49702489272224537,0.47919688576703856,0.5107165535719884
A,0.64,A4,0.38702626453264,0.3797093685989526,0.39346895039805396
A,0.64,A5,0.3355966632506907,0.33112809397643234,0.3393892359978151
A,0.65,A1,0.38926890943827047,0.3782708082800662,0.3975008083889295
A,0.65,A2,0.4511113083564663,0.44517916676372765,0.4560703985187326
A,0.65,A3,0.49656211462183547,0.4787466643809529,0.5102545493024344
A,0.65,A4,0.38668351534290885,0.379346991830198,0.39314167385021914
A,0.65,A5,0.3352918246469449,0.33082107825050555,0.33908490793499774
A,0.66,A1,0.38992593486922605,0.3788890886140097,0.39818733459258715
A,0.66,A2,0.4520623091688513,0.4461093716810008,0.45704503918949996
A,0.66,A3,0.4960993365214255,0.47829644299486745,0.5097925450328805
A,0.66,A4,0.3863407661531777,0.3789846150614435,0.39281439730238443
A,0.66,A5,0.33498698604319904,0.3305140625245788,0.3387805798721806
A,0.67,A1,0.39058296030018164,0.37950736894795345,0.3988738607962449
A,0.67,A2,0.4530133099812364,0.447039576598274,0.45801967986026737
A,0.67,A3,0.4956365584210156,0.4778462216087817,0.5093305407633266
A,0.67,A4,0.3859980169634465,0.37862223829268893,0.39248712075454967
A,0.67,A5,0.3346821474394533,0.33020704679865204,0.33847625180936336
A,0.68,A1,0.3912399857311371,0.38012564928189707,0.39956038699990243
A,0.68,A2,0.45396431079362154,0.4479697815155472,0.4589943205310347
A,0.68,A3,0.49517378032060577,0.47739600022269624,0.5088685364937728
A,0.68,A4,0.38565526777371534,0.3782598615239344,0.3921598442067149
A,0.68,A5,0.33437730883570754,0.3299000310727253,0.3381719237465461
A,0.6900000000000001,A1,0.3918970111620926,0.3807439296158405,0.40024691320356
A,0.6900000000000001,A2,0.45491531160600657,0.4488999864328203,0.459968961201802
A,0.6900000000000001,A3,0.49471100222019593,0.4769457788366106,0.5084065322242188
A,0.6900000000000001,A4,0.3853125185839841,0.37789748475517987,0.39183256765888014
A,0.6900000000000001,A5,0.3340724702319617,0.3295930153467985,0.3378675956837289
A,0.7000000000000001,A1,0.39255403659304816,0.38136220994978426,0.40093343940721765
A,0.7000000000000001,A2,0.45586631241839165,0.4498301913500935,0.46094360187256944
A,0.7000000000000001,A3,0.49424822411978586,0.47649555745052496,0.507944527954665
A,0.7000000000000001,A4,0.38496976939425287,0.3775351079864253,0.39150529111104543
A,0.7000000000000001,A5,0.3337676316282159,0.3292859996208719,0.3375632676209117
A,0.71,A1,0.39321106202400374,0.3819804902837278,0.4016199656108753
A,0.71,A2,0.4568173132307767,0.4507603962673666,0.46191824254333674
A,0.71,A3,0.4937854460193761,0.4760453360644394,0.507482523685111
A,0.71,A4,0.38462702020452166,0.3771727312176707,0.39117801456321066
A,0.71,A5,0.33346279302447007,0.32897898389494507,0.3372589395580945
A,0.72,A1,0.3938680874549592,0.38259877061767145,0.4023064918145329
A,0.72,A2,0.45776831404316176,0.4516906011846398,0.4628928832141041
A,0.72,A3,0.49332266791896623,0.47559511467835386,0.5070205194155573
A,0.72,A4,0.3842842710147905,0.3768103544489162,0.390850738015376
A,0.72,A5,0.3331579544207244,0.32867196816901834,0.3369546114952773
A,0.73,A1,0.3945251128859148,0.383217050951615,0.40299301801819054
A,0.73,A2,0.4587193148555468,0.45262080610191285,0.4638675238848714
A,0.73,A3,0.49285988981855633,0.4751448932922682,0.5065585151460035
A,0.73,A4,0.3839415218250592,0.3764479776801616,0.39052346146754113
A,0.73,A5,0.3328531158169786,0.32836495244309155,0.33665028343246006
A,0.74,A1,0.3951821383168703,0.38383533128555863,0.4036795442218482
A,0.74,A2,0.4596703156679319,0.453551011019186,0.46484216455563876
A,0.74,A3,0.4923971117181465,0.4746946719061827,0.5060965108764495
A,0.74,A4,0.3835987726353281,0.37608560091140714,0.3901961849197064
A,0.74,A5,0.33254827721323277,0.3280579367171648,0.3363459553696428
A,0.75,A1,0.3958391637478259,0.3844536116195023,0.4043660704255058
A,0.75,A2,0.46062131648031684,0.4544812159364591,0.46581680522640606
A,0.75,A3,0.4919343336177365,0.47424445052009706,0.5056345066068956
A,0.75,A4,0.38325602344559684,0.3757232241426525,0.38986890837187166
A,0.75,A5,0.33224343860948696,0.327750920991238,0.3360416273068256
A,0.76,A1,0.3964961891787814,0.3850718919534459,0.4050525966291634
A,0.76,A2,0.461572317292702,0.4554114208537323,0.46679144589717336
A,0.76,A3,0.49147155551732663,0.4737942291340115,0.5051725023373417
A,0.76,A4,0.3829132742558656,0.37536084737389797,0.38954163182403695
