analysis,panel,criterion_id,patient_evidence_weight,panel_value_weight,combined_weight_lambda_0_5
first_encounter_explanation_ddcdw,B,D1,0.049964473114738402,0.083333333333333343,0.066648903224035883
first_encounter_explanation_ddcdw,B,D2,0.0061416123651144997,0.099333333333333329,0.052737472849223914
first_encounter_explanation_ddcdw,B,D3,0.2599074786148784,0.13000000000000003,0.19495373930743926
first_encounter_explanation_ddcdw,B,D4,0.40396766420667429,0.10466666666666669,0.25431716543667054
first_encounter_explanation_ddcdw,B,D5,0.026675101165527799,0.11533333333333334,0.071004217249430582
first_encounter_explanation_ddcdw,B,D6,0.00021528824964620001,0.090666666666666673,0.045440977458156437
first_encounter_explanation_ddcdw,B,D7,0.0507478841791155,0.11333333333333334,0.082040608756224431
first_encounter_explanation_ddcdw,B,D8,0.1743655038738724,0.087333333333333346,0.13084941860360289
first_encounter_explanation_ddcdw,B,D9,0.0247814630897716,0.078666666666666676,0.051724064878219143
first_encounter_explanation_ddcdw,B,D10,0.0032335311406607001,0.097333333333333341,0.050283432236997022
logistic_grouped_pfi,A,D1,0.088779286849995295,0.09866666666666668,0.093722976758330995
logistic_grouped_pfi,A,D2,0.16130937202912821,0.088000000000000009,0.12465468601456414
logistic_grouped_pfi,A,D3,0.2217504822498966,0.1466666666666667,0.1842085744582817
logistic_grouped_pfi,A,D4,0.28159943847160551,0.10400000000000001,0.1927997192358028
logistic_grouped_pfi,A,D5,0.025252917291778799,0.12400000000000001,0.074626458645889404
logistic_grouped_pfi,A,D6,0.064202103624624599,0.089333333333333348,0.07676771847897898
logistic_grouped_pfi,A,D7,0.035920554506228698,0.11533333333333336,0.075626943919781017
logistic_grouped_pfi,A,D8,0.099173088357455405,0.06933333333333333,0.084253210845394388
logistic_grouped_pfi,A,D9,0.016220640326142802,0.06666666666666668,0.041443653496404734
logistic_grouped_pfi,A,D10,0.0057921162931437002,0.09799999999999999,0.051896058146571833
logistic_grouped_pfi,B,D1,0.088779286849995295,0.083333333333333343,0.08605631009166434
logistic_grouped_pfi,B,D2,0.16130937202912821,0.099333333333333329,0.1303213526812308
logistic_grouped_pfi,B,D3,0.2217504822498966,0.13000000000000003,0.17587524112494837
logistic_grouped_pfi,B,D4,0.28159943847160551,0.10466666666666669,0.19313305256913615
logistic_grouped_pfi,B,D5,0.025252917291778799,0.11533333333333334,0.070293125312556076
logistic_grouped_pfi,B,D6,0.064202103624624599,0.090666666666666673,0.077434385145645657
logistic_grouped_pfi,B,D7,0.035920554506228698,0.11333333333333334,0.07462694391978103
logistic_grouped_pfi,B,D8,0.099173088357455405,0.087333333333333346,0.093253210845394396
logistic_grouped_pfi,B,D9,0.016220640326142802,0.078666666666666676,0.047443653496404739
logistic_grouped_pfi,B,D10,0.0057921162931437002,0.097333333333333341,0.051562724813238522
grouped_treeshap,A,D1,0.12921480758519699,0.09866666666666668,0.11394073712593186
grouped_treeshap,A,D2,0.097349706579823406,0.088000000000000009,0.092674853289911735
grouped_treeshap,A,D3,0.22791991245089971,0.1466666666666667,0.18729328955878327
grouped_treeshap,A,D4,0.21944215658619709,0.10400000000000001,0.16172107829309859
grouped_treeshap,A,D5,0.051244136740319197,0.12400000000000001,0.087622068370159609
grouped_treeshap,A,D6,0.0117308118644867,0.089333333333333348,0.050532072598910023
grouped_treeshap,A,D7,0.080980841238920603,0.11533333333333336,0.098157087286126987
grouped_treeshap,A,D8,0.12688663095683439,0.06933333333333333,0.098109982145083902
grouped_treeshap,A,D9,0.0442223919681866,0.06666666666666668,0.055444529317426647
grouped_treeshap,A,D10,0.0110086040291348,0.09799999999999999,0.054504302014567386
grouped_treeshap,B,D1,0.12921480758519699,0.083333333333333343,0.10627407045926518
grouped_treeshap,B,D2,0.097349706579823406,0.099333333333333329,0.09834151995657836
grouped_treeshap,B,D3,0.22791991245089971,0.13000000000000003,0.17895995622544991
grouped_treeshap,B,D4,0.21944215658619709,0.10466666666666669,0.16205441162643192
grouped_treeshap,B,D5,0.051244136740319197,0.11533333333333334,0.083288735036826267
grouped_treeshap,B,D6,0.0117308118644867,0.090666666666666673,0.051198739265576679
grouped_treeshap,B,D7,0.080980841238920603,0.11333333333333334,0.097157087286126959
grouped_treeshap,B,D8,0.12688663095683439,0.087333333333333346,0.10710998214508388
grouped_treeshap,B,D9,0.0442223919681866,0.078666666666666676,0.061444529317426638
grouped_treeshap,B,D10,0.0110086040291348,0.097333333333333341,0.054170968681234062
